類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2,download_timestamp,process_timestamp
財報公告,台股,聯發科(2454) 2026 Q1 財報,2026-04-30,2026-04-30,聯發科 發布季度財報,https://finance.yahoo.com/quote/2454.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2454.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Sandisk Corp(SNDK) 2026 Q1 財報,2026-04-30,2026-04-30,Sandisk Corp 發布季度財報,https://finance.yahoo.com/quote/SNDK/financials/,https://finance.yahoo.com/calendar/earnings?symbol=SNDK,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,研華(2395) 2026 Q1 財報,2026-04-30,2026-04-30,研華 發布季度財報,https://finance.yahoo.com/quote/2395.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2395.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,日月光投控(3711) 2026 Q1 財報,2026-04-29,2026-04-29,日月光投控 發布季度財報,https://finance.yahoo.com/quote/3711.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=3711.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Meta Platforms Inc.(META) 2026 Q1 財報,2026-04-29,2026-04-29,Meta Platforms Inc. 發布季度財報,https://finance.yahoo.com/quote/META/financials/,https://finance.yahoo.com/calendar/earnings?symbol=META,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Microsoft Corporation(MSFT) 2026 Q1 財報,2026-04-29,2026-04-29,Microsoft Corporation 發布季度財報,https://finance.yahoo.com/quote/MSFT/financials/,https://finance.yahoo.com/calendar/earnings?symbol=MSFT,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Qualcomm Inc.(QCOM) 2026 Q1 財報,2026-04-29,2026-04-29,Qualcomm Inc. 發布季度財報,https://finance.yahoo.com/quote/QCOM/financials/,https://finance.yahoo.com/calendar/earnings?symbol=QCOM,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,光寶科(2301) 2026 Q1 財報,2026-04-29,2026-04-29,光寶科 發布季度財報,https://finance.yahoo.com/quote/2301.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2301.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,聯電(2303) 2026 Q1 財報,2026-04-29,2026-04-29,聯電 發布季度財報,https://finance.yahoo.com/quote/2303.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2303.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,台光電(2383) 2026 Q1 財報,2026-04-29,2026-04-29,台光電 發布季度財報,https://finance.yahoo.com/quote/2383.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2383.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Alphabet Inc.(GOOGL) 2026 Q1 財報,2026-04-29,2026-04-29,Alphabet Inc. 發布季度財報,https://finance.yahoo.com/quote/GOOGL/financials/,https://finance.yahoo.com/calendar/earnings?symbol=GOOGL,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,台達電(2308) 2026 Q1 財報,2026-04-29,2026-04-29,台達電 發布季度財報,https://finance.yahoo.com/quote/2308.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2308.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,智原(3035) 2026 Q1 財報,2026-04-28,2026-04-28,智原 發布季度財報,https://finance.yahoo.com/quote/3035.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=3035.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,系微(6231) 2026 Q1 法說會,2026-04-16,2026-04-16,系微（6231）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
